Texto,Emoción
"...and, um, my parents want to like be part of it and help out and everything--So we want to give it lots of time to like--",happy
"Oh. Do they--do they know yet? Have you told them? Oh, that's--",neutral
"Yeah, yeah, I called them. I called them And, of course, they were so excited 'cause they love him. Like they always have. Um--",happy
That's great. Yeah.,neutral
"So, yeah, I mean, it'll be good. We wanna like, uh, I think we're gonna have it in spring time, like early Spring--So it's no too hot yet. And um--",happy
Okay. You know--you know where? Or--,neutral
"I don't know. I mean, I kinda like the idea of having something outside, but--Like--is a- Yeah,",happy
"Uh, huh. I mean, you know, it's spring--It'll be--",neutral
Spring's nice though.,neutral
"Yeah, that is--how long you guys been together now?",neutral
Okay. All right. So-[LAUGHTER]-quite a while. I mean--That's- That's good. I'm so happy for you. [LAUGHTER],happy
Thank you. Thank you so much.,happy
"Yeah, I'd love to be in that same situation some day, but, wow- so-",happy
"Oh, I approve. I-[LAUGHTER]-I more than approve.",happy
"I mean, I'm surprised he didn't, ya know--go get a plane to fly over and shine--But candles on the beach, that's okay too I guess--",happy
"Yeah, it's pretty good.",happy
"Of course, of course--you'll be able to be a part of it. You can come help me pick my colors.",happy
She'll be like--flowers and the--,happy
"It'll be good. Wow, that's great.",happy
"Oh, thank you. [LAUGHTER]",happy
"So, uh, so how's it been going? I mean, you have any needs or anything?",neutral
"No. You can't think that way. I mean it's good--it's good that you're--that you're calling, you know. you can't",neutral
"No, come on. Don't [GARBAGE]",neutral
"I know. I know. It's hard, but you just--you gotta keep going. I mean, you've been going at it for so long, you know. Something is definitely going to come up. I-I know it will, because you're a good worker--",neutral
"No. It's--I mean, it's competitive, you know. That's-That's what it is. that's what you gotta be is competitive.",neutral
"There...There are plenty of people out there with--with like, good jobs, you know, that are a lot...",neutral
...dumber than you. I mean they're a lot worse off than you. You are much better off than like a lot of those people in there. I know,neutral
"I know. It makes it harder. I mean it's definitely who you know in a lot of cases, but--",neutral
"But you gotta. Otherwise, what is--what's your other option?",neutral
I feel so worthless.,sad
"It's not worthless 'cause it's definitely gonna--it's definitely gonna pay off. I know it. I mean, I can--I've just--I've seen your work etiquette. You know, you're a good worker and...",neutral
... and there's no reason that--that something won't come up like really soon. All right? So you just gotta--,neutral
"Because I know you. You know, and maybe once you get to know some more people, like talking to them and everything, they'll get to know you too and they'll realize they should've hired you three years ago. You know? but And- and they'll finally come around and believe me--it'll--you gotta-",neutral
"Well maybe yeah, but maybe you get to that point where it's like you bug 'em and then they just don't wanna hear from you anymore, but you keep bugging them and bugging them and then it's gonna annoy them so much that they're gonna be like all right fine. you know",neutral
"That obviously that's not true though. I mean, you've done this before. You've done all the work like this before, you know, and and you've gotten people saying oh, you're so good and like you know--",neutral
Right.,neutral
"Well, you've gotta live.",neutral
"I mean, it's just, it's really--I don't know, yeah, it's about their opinions and it's about, I don't know, just getting yourself out there and--",neutral
"I just wanna crawl in a hole, you know. Like it just makes you not wanna even open your eyes in the morning.",sad
"Well, come on, come on. Thinking about it like this is definitely not gonna help either though.",neutral
"Hi, um, excuse me, I believe that the airline lost my baggage.",neutral
"Um, okay, it didn't--didn't come out on the carrousel--",neutral
"No, it didn't. um It didn't come out and I don't see it anywhere around here, so what can you do about that?",neutral
"Okay. Um, well, unfortunately yeah there was a some- some problems with the--",neutral
Some problems? What is that supposed to mean?,surprise
"Uh, well some-some of the bags were--were lost on the way over here. uh-",neutral
How do you lose a suitcase? A huge suitcase?,surprise
"You know, I mean, there's a lot of things that go on under the plane and sometimes, you know, that kind of things happen.",neutral
"Uh, But, we are willing to reimburse you for the bag and and for the contents--",neutral
How much?,neutral
"Um, we'd be willing to give you uh fifty dollars for--",neutral
"Fifty dollars? For my suitcase? I mean, the suitcase itself was like a hundred and fifty dollar just for the suitcase, but all the things inside, all my clothes, all my personal belongings, the sentimental value, not to mention, which is more-more than all of that together.",surprise
"Right. Uh We realize, you know, that that it's a bad situation, but I'm sorry, there's nothing that we can really do.",neutral
"That's all, that's all, that's all you're going to do is just give me fifty dollars and say go have fun on your vacation without any of your stuff?",angry
"I think, um, maybe you can file a claim if you want and turn it in to our main office--",neutral
"Right. No. I mean they- they might--they might--if you-if you are argue the case more, maybe they'll reimburse you more, but, right now--",neutral
"Yes, I know. I know-. It's It's frustrating. Unfortunately though-- um",neutral
"Because you don't seem to care very much, you know.",angry
"By checking your bags, you--you, you know- admit to the liability that's- that's at risk--",neutral
"Right, well, by checking in your bags, you agreed to, you know, at the will of the--",neutral
"You paid for the flight and then your bags were checked at--it's a service that the airline provides for us. So so, really, it's really the risk was taken and, I'm sorry, but there's really nothing else we can do. So do you want--do you want the reimbursement?",neutral
"Well, there are-there are some shops here in- in the airport--",neutral
"No, um, like I said you can file a claim and, uh, maybe get reimbursed for more-- you",neutral
probably even talk to--,neutral
"Right, that--that gets taken care of-- That gets taken care of. We get we do, you know, we investigate those and just make sure that um- they're not doing their own thing with them so--uh",neutral
but Unfortunately sometimes is--,neutral
"Well, that's--that's what I'm saying--",neutral
"Okay. Well that that could be something that you put on on the claim--on on the complaint form if you want. And provide us with your information while you're here and then, maybe, if it turns up, then we'll send it right over.",neutral
It sounds like it's such a little like oh well no big deal whatever. It's a big deal to me.,angry
"All right, Miss, I-I know. I realize this. But Like I said, there are several people that are in your same situation, so, um, it's not--it's not totally uncommon and I'm actually gonna have to ask you to move so I can help the next person.",neutral
"Yes, all right. There you go, now you can file a claim over to the left--And they'll help you out.",neutral
"Hey, a what's up?",neutral
"Um, Johnny died yesterday.",sad
"Wow, that's horrible.",neutral
I'm sorry to hear about that.,neutral
"We knew that it was coming, but--",sad
Yeah.,neutral
"It seemed like he had a little bit longer. Like just last week, he was doing was so well.",sad
"I mean, you know, at least he's not in anymore pain now, right?",neutral
Yeah.,sad
"It's good, you know. you know It hurts I know. I know what it's like to lose someone like that.",neutral
I just don't want him to be gone.,sad
It's okay.,neutral
"'Cause, you know, you've got all the times that you guys did spend together, you know and that's something good that you can look back on.",neutral
I mean--I don't know.,neutral
And his whole family was there.,sad
"I mean, he was like really conscious right up until the end. you know",sad
"Well, that's that's good, you know. At least, I don't know. I mean it's- it's better to go- to goout that way than...",neutral
".than you know, in pain and like this gradual, this horrible process. I mean--",neutral
"He was so young, you know. And all the stories he used to tell me about...",sad
...the way he wanted to live and he was gonna go to Africa and he was gonna--,sad
"But look at the--he--look at the life he did get to lead. I mean, for his age, he'd done so much and--",neutral
Nobody's ever gonna forget him.,sad
"Yeah, exactly. He's made a big impact on a lot of people. and",neutral
"And you'll always have that and--you should feel, you know, happy for him that he got to do so much before--I mean, and even after he found out last year. I mean--",neutral
He did a lot. But--,sad
"I know. It doesn't bring him back, but--",neutral
"But It's okay because now, you know, you'll just go on with your life and--",neutral
I'm gonna forget him.,sad
"No, you'll never forget him.",neutral
I won't be able to hear his voice or his--,sad
I know. but you're not I mean you're not going to forget him. The pain will go away eventually and--or it will subside--,neutral
You start to lose like that image after a while.,sad
"That will be, It'll be--it'll be better that way. I mean Time will tell. Time heals, you know, and it's good. It's okay. I mean, it wasn't anybody's fault or anything like that so .",neutral
"It's hard to lose someone that way, but he's he's better--he's better off now.",neutral
Thanks.,sad
"So, how's it going?",neutral
So...,neutral
That'll be awesome.,happy
"I mean because you went to the campus before, right?",happy
"Hi, my name is Shiloh, welcome to--Airline Six. Hi, how may I help you?",neutral
"All right, sir.",neutral
I completely understand. Automated systems are very difficult sometimes.,neutral
Okay.,neutral
"Um, how may I help you. You're trying to book a specific flight?",neutral
"Oh, yeah, absolutely. You know, and especially because you've been waiting so long and I know that, um, you've been having a difficult time.",neutral
"I want to definitely give you our special package today, which um is usually only for valued customers who have a record of having previous,",neutral
"um lots of purchases, but we're gonna go ahead and give that to you anyway. uh, Just to make sure that you're happy with your service here.",neutral
You- You can do that--You can do that now? I don't have to get like transferred through or anything like that.,neutral
Is that all right?,neutral
"I can do that right now for you. No, absolutely. I can take care of you all the way through to the end.",neutral
All I'm going to need is your credit card number but just give me one moment. So-,neutral
[BREATHING] that's good.,neutral
"um, you're scheduling a flight as well--And you would like to, um, we have a highly discounted hotel rate that goes along with that so that everything is all in one deal. You're taken care of by the time that you get there.",neutral
"All right. I want to make sure it's like a nice hotel--I mean-mean I'm gonna be paying a lot of money for this so I don't wanna-I don't wanna, you know, I don't wanna to be a waste of time.",neutral
Absolutely. we we,neutral
"Yes, I completely understand. Actually, our-our airline only uses five star hotel and above. Except we charge at a three star hotel rate because, as a corporation, we are able to get a deal from the hotels themselves.",neutral
"So, you will absolutely be in a high rated great hotel and we can make sure that it's in a area of town that you like as well.",neutral
Okay. So--,neutral
Yeah.,neutral
"Well, you know, we wanted to--we wanted to go to Maui and--That was a",neutral
Okay.,neutral
"--you know, the kids wanna go to the beach and stuff and so--um",neutral
Great. How many seats?,neutral
"Well, it's gonna be four of them.",neutral
Okay. Great. Four seats. I'll book you for four seats.,neutral
All right. And can they like all get together?,neutral
"Oh, yeah, absolutely. Um- Would you like window seats or aisles?",neutral
"Um- You know, window is nice. I guess",neutral
"Okay, I can do um- a win- -two like a window and a aisle and a window and an aisle next to each other so that each of you can sit two by two. And switch around maybe?",neutral
Okay. Great. What time of the day would you like?,neutral
"Uh, well, yeah, I think we were just--you know, whenever best available, I guess. You know--",neutral
All right. Great. Well we have a very open flight that leaves at nine a.m. and fortunately uh the time change actually goes um backwards from that.,neutral
"So, it's a five hour flight, but you'll arrive only at eleven a clock in the morning. So that day, you can have plenty of time to get to your hotel--Rest up and then still have a nice afternoon your first afternoon in Maui.",neutral
"And, like, there's there's shuttles or something that I can get to the hotel.",neutral
Absolutely. That actually goes in on the same package with our hotel. You just give me your address. We'll come and pick up a time that allows you to get to your flight with plenty of time to spare.,neutral
And a there will also be a shuttle waiting for you to take you to the appropriate hotel.,neutral
Yeah--I completely understand. It's a difficult process sometimes and we want to make traveling as easy as possible.,neutral
All right. So we're confirmed then or do you--All right.,neutral
Absolutely. Thank you so much for calling and we hope that you will come to us again.,neutral
Okay.,neutral
Thank you.,neutral
Did you talk to him?,sad
He cried hard?,sad
What was he doing out here at that hour?,sad
Why shouldn't he dream of him and walk the nights waiting for him? Do we contradict him? Do we say straight out that we don't have any hope anymore? That we haven't had hope for years now?,angry
"For God sakes, it's been three years. Nobody comes back after three years. It's insane.",angry
"I've got an idea, but what's the story?",sad
I'm gonna ask her to marry me.,neutral
"Well, that's only your business, Chris.",neutral
What do you want me to do? You're old enough to know your own mind.,angry
"Well, then it isn't just my business--",angry
I'm just saying that--,neutral
She's not Larry's girl.,angry
You're a considerate fellow. There's nothing wrong with that.,neutral
To hell with that.,angry
[BREATHING] Have you asked Annie yet?,neutral
"Well, how do you know she'll marry you? Maybe she feels the same way your father does.",neutral
"Well, if she does, then that's the end of it. But from her letters, I think she's forgotten him. I'll find out. And then we'll thrash it out with Dad, right? Mom, don't avoid me.",sad
"Trouble is, you don't see enough women.",sad
Because it is.,neutral
What the hell is this?,surprise
Are you crazy?,angry
I've been a good son too long. A good sucker. I'm through with it.,angry
What about the business? What the hell is this?,angry
The business? The business doesn't inspire me.,angry
Must you be inspired?,angry
"Yes. I like it an hour a day. If I'm gonna grub for my money all day long, at least in the evening I want it beautiful.",angry
"Yes, on this I would.",neutral
"Well, you don't want to think like that.",angry
I am thinkin' that way.,neutral
"No, you don't. I'm a pretty tough guy.",neutral
I can see that.,sad
"Well, maybe he just wanted to see her again.",neutral
What do you mean? He lived next door to the girl all his life. Why wouldn't he want to see her again?,neutral
How do you know he's even thinking of it?,neutral
It's got that all about it.,angry
"Well, so what?",neutral
"Now, listen Kate.",neutral
You can't read her mind.,neutral
How do you know why she's waited?,neutral
"Because if he's not coming back, I'll kill myself. I mean, laugh--laugh at me, but...",angry
But why did that happen the very night she came here? She sleeps in his room and his memorial breaks to pieces. Just look. Look at it.,angry
What does that mean? Me above all?,angry
Look at you. Look at you shaking.,angry
What have I got to hide? What the hell is the matter with you Kate?,angry
You're not sorry you came?,neutral
"from her point of view, why else would I come?",sad
I almost got married two years ago.,happy
You started to write me and--,happy
Every day since.,happy
I will never forgive you. Why did you wait all these years? All I did was sit and wonder if I was crazy for thinking of you.,happy
No. Nothing like that.,sad
"Then, what's wrong? I mean, even in your letters there was some--something ashamed.",sad
"Yeah, I suppose I have been. But it's going from me.",sad
You've gotta tell me.,sad
I don't know how to start.,sad
It wouldn't work this way.,sad
"It's all mixed up with so many other things. You remember overseas, I was in command of a company?",sad
"Yeah, sure.",sad
"Well, I lost them.",sad
How many?,sad
Just about all.,sad
"Oh, gee.",sad
It takes some time for a guy to toss that off. 'Cause they weren't just men.,sad
"For instance, one time, it had been raining several days and this kid came to me and gave me his last pair of dry socks. I put them in pocket. It's only a little thing, but that's the kind of guys I had.",sad
"They didn't die, they killed themselves for each other. I mean that exactly. A little more selfish and they'd have been here today.",sad
"I got this idea watching them go down. Everything was being destroyed, see, but it seemed that there was one new thing being made. A sort of responsibility. Man for man.",sad
"You know what I mean? To show that, to bring that onto the Earth again, like some kind of monument and everyone would feel it standing behind him and it would make a difference to him.",sad
Then I came back and it was incredible. There was no meaning in it here. The whole thing to them seemed like sort of a bus accident. I went to work with Dad and that rat race again.,sad
"And I felt what you said, ashamed somehow 'cause nobody was changed at all. It seemed to make suckers out of a lot of guys. I felt wrong to be alive to open the new bank book, drive the new car, see the new refrigerator.",sad
"I mean, you can take those things out of a war, but when you drive that car, you've gotta know that it came out of the love a man can have for a man. You've gotta be a little better because of it.",sad
Because otherwise all you have is really loot and there's blood on it. And I didn't want to take any of it. And I guess that included you.,sad
You still feel that way?,sad
What'll I do with a fortune?,happy
What flashlight?,neutral
"Oh, well sure.",neutral
"Right, of course. Our flashlight. Mine and yours. I mean, me flashlight is su flashlight naturally.",neutral
"I wonder, do they always run during a full moon? I can't remember if it was full last year. Do you remember?",neutral
Yeah.,neutral
"You cold? Do you want my jacket? Oh, we should've brought the blanket. Our blanket.",neutral
Do you want my jacket?,neutral
Right.,neutral
That's my point too.,neutral
No. No. That's not my point. The point is there's no point in coming down if we just leave. Don't you want to see it?,neutral
"I don't get it. The first time we came here, you said it was the best night of your life.",neutral
We weren't in a good spot.,neutral
We didn't see them the first time either.,neutral
"Well, so what do you think?",neutral
About what?,neutral
What I was saying.,neutral
About what?,neutral
What I was saying.,neutral
It certainly is not. It's slightly exaggerated scientific fact.,neutral
"Well, I'm not the only one. Look at all these people.",neutral
"Carla, can I ask you something? Don't take this wrong, but are you having your period?",neutral
"God damn it, Augie, don't ask me that. I hate it when you ask me that. You always ask me that. It's insulting.",angry
We just have different ideas of what this evening is supposed to look like.,angry
"There's nothing to it. We come here, the grunion arrive, they do their little fish business, we go ooh, ah, look at the fish. They go home. We go home.",neutral
We've missed them twice. That's not ever.,neutral
"Well, we'll see them this year.",neutral
"I mean, I feel like my whole life is gonna be spent standing on the beach with my eyes wide open and my hands clasped expectantly waiting for the fish to show up. And the fish won't show up.",angry
It's just fish. Nothing to get traumatized about.,neutral
"You said, ""Hey the grunion are running tonight."" I said, ""Great, let's go. I feel lucky.""",neutral
"Okay, so I'm putting on my jacket, putting out the animals, getting the car out of the garage--",neutral
"Do you remember the first time we came to see it? It was about four years ago, right after we got married.",sad
"I thought I was pregnant, you had a bottle of champagne, but no glasses. You asked me to dance, so we kicked off our shoes and you popped the cork.",sad
"And while we were dancing, you said the softest, most intimate things to me right into my ear so that I could feel them as much as hear them.",sad
"And I remember thinking, this is it. You know, at last--at last I am as happy as I am supposed to be.",sad
Wait a minute. I've got it.,neutral
"Just dancing barefoot in the sand, drinking champagne out of the bottle.",sad
"It was in the car, right? Driving past the Knickerbocker Liquor Locker, you said, ""let's get some champagne,"" and I said, ""time's a wasting"" or something like that, right?",neutral
"Yeah, of course, I see it now. You want this to be like that other time, right? That's it, right?",neutral
I'd rather not remember some things. I would rather not hope for some things.,sad
"Okay, yeah, sure, I see it now. Listen, you wanna dance?",neutral
No.,sad
You want me to go get some champagne?,neutral
No.,sad
Take off our shoes?,neutral
No.,sad
"Well, welcome to the human race. Do you think this is what I had in mind when I proposed? That four years down the road, we'd be at the beach yelling at each other over fish?",angry
"No, Carla, I'm just like you. I thought it was gonna be all peaches and roses and sand in our toes and wind in our hair and the fish will always come and the bills will pay themselves and we'll have three fat rosy kids and ha, ha, baby, the joke's on us",sad
"Yes, it is.",neutral
Right.,neutral
Well. This isn't anything like I thought anything would be like.,sad
"I know, me neither.",sad
I'm doing the best I can.,sad
"I know that, Augie. Really, I do.",sad
"I know that you meant this to be special and nice and the sand and the moon and all, but I just couldn't help thinking about being somewhere else.",sad
Maybe if you were with somebody else too.,sad
I didn't say that.,sad
"No, I know. But still. I know I don't make you happy.",sad
Yeah?,surprise
You're the one who probably wishes you were with someone else. Someone who--you'd rather enjoy yourself and didn't take everything so hard.,sad
"I don't know. It seemed like a pretty good spot to me. I mean, look at the view you have of the moon from here.",happy
"Well, look what we have here.",happy
"Augie, you brought refreshments.",happy
It's not champagne.,happy
"Well, then we don't need glasses.",happy
No. I think you might be right. Maybe this is the spot after all.,happy
"Augie, I'm sorry.",sad
Shh. If we're very quiet the fish might come.,happy
Or not.,happy
Or not.,happy
Do you think it's them?,fear
I wonder.,neutral
"Well, nobody know we're here except Freda and she wouldn't ring up.",fear
What're we gonna do?,fear
I don't care then.,neutral
Hello? Hello? What? Wrong number.,neutral
Behave exquisitely.,happy
With the most perfect poise?,neutral
"Oh, of course. I shall probably do a court curtsy.",happy
Things that ought to matter dreadfully don't matter at all when one's happy. Do they?,neutral
What's so horrible is that one can't stay happy.,happy
"Oh, darling, don't say that.",neutral
It's true. The whole business is a very poor joke.,happy
"Meaning that sacred and beautiful thing, love?",neutral
"Yes, meaning just that.",happy
"You mustn't be serious, my dear one. That's just what they want.",neutral
Who's they?,neutral
All those futile moralists that try to make life unbearable. Laugh at them. Be flippant. Laugh at everything. All their sacred shibboleths.,neutral
Flippancy brings out the acid in their damn sweetness and light.,neutral
"If I laugh at everything, then I must laugh at us too.",neutral
"Certainly, you must. We're figures of fun, alright.",neutral
"Well how long will it last us, this ludicrous overbearing love of ours.",neutral
Who knows.,neutral
"Well, shall we always want to bicker and fight?",neutral
"No, that desire will fade. Along with our passion.",neutral
"Oh, dear, shall we like that?",neutral
Depends on how well we've played.,neutral
"Well, what happens if one of us dies? I mean, does the one that's left still laugh?",neutral
"Darling, I believe you're talking nonsense.",happy
So is everyone else in the long run.,neutral
"Elliott, worms don't pop.",happy
"I don't care what you do. See, you could paint yourself green and dance naked in the Place Vendome and rush off madly with all the men in the world and I shan't say a word. As long as you love me best.",neutral
"Oh, thank you, dear. The same applies to you except that if I catch so much as looking at another woman, I'll kill you.",happy
You remember that awful scene we had in Venice?,neutral
Which particular one?,happy
The one when you bought that little painted wooden snake in the Piazza and put it on my bed.,neutral
Charles. That was his name. Charles. He did wriggle so beautifully.,happy
"Yes, I know you did. You threw it out of the window into the Grand Canal. I don't think I'll ever forgive you for that.",happy
How long did that row last?,neutral
It went in intermittently for days.,happy
The worst one was in Cannes when your curling iron burnt a hole in my new dressing gown.,neutral
It burned my comb too and all the towels in the bathroom.,happy
That was the first time you ever hit me.,neutral
I didn't hit you very hard.,neutral
"The manager came in and found us rolling around on the floor, biting and scratching like panthers.",happy
We were very much younger then.,neutral
"As a matter of fact, the real cause of that row was Peter Burden.",neutral
"As a matter of fact, the real cause of that row was Peter Burden.",neutral
I knew nothing of the sort. You took presents from him.,neutral
What of it?,angry
"Well, what about me?",angry
"Well, if you hadn't been so suspicious and nosey, you never would have known a thing about it.",neutral
"Me, too. Bored stiff. You want some brandy?",neutral
No particular reason. Anyhow they were very small ones.,neutral
Just seems so silly to go on and on and on with such a thing.,neutral
"Well, it's become a habit with you.",neutral
"You needn't be so grand, just because you don't happen to want any yourself at the moment.",angry
Don't be so stupid.,angry
What?,angry
"Oh, be quiet.",angry
"Adders don't snap, they sting.",angry
You're quite insufferable,angry
I'm not in the least drunk.,angry
Shut up.,angry
"We could get a good debate going about this, don't you think? Intemperate tots.",angry
Why?,angry
"Turn it on again, please.",angry
I'll do no such thing.,angry
"Very well, if you insist on being boorish and idiotic.",angry
Turn it off. It's driving me mad.,angry
You are far too temperamental. Try to control yourself.,angry
Turn it off.,angry
Stop it. Go away. I hate you.,angry
"Amanda, listen. listen",angry
"Listen? Listen, indeed. I am sick and tired of listening to you, damn sadistic bully.",angry
"I hate you. Stop it. Stop it. I hate you, do you hear? You're conceited and overbearing and utterly impossible.",angry
"You're a vile, tempered, loose living, wicked little beast and I hope to never see you again as long as I live.",angry
This is the end. Finally and forever. Do you hear me? The end.,angry
You're not going like this.,angry
"Oh Yes, I am.",angry
You're not.,angry
I am. Let go of me. You're a cruel fiend and I hate and loathe you.,angry
Shut up. Shut up.,angry
I wouldn't-- I wouldn't marry--,angry
I wouldn't marry you if you came in crawling on your knees,angry
Thank God I realized what you are-- I'd never marry you again ever in my life. You're a cruel fiend and I hate you. You're a beast. You're a beast--I hate you. Stop it. Stop it.,angry
You're a evil vampire and I hope to God I never see you again as long as I live.,angry
"Hi, How can I help you?",neutral
"Yea. I just want to get this done,",neutral
"Sure, um",neutral
get my new license.,neutral
do you have two forms of ID with you?,neutral
"Um, no, I got my driver's license though.",neutral
"I actually need two forms of ID. I need either a passport or a birth certificate, or social security card. I'm sorry.",neutral
"Uh, sorry, I forgot them. I mean I've got to -",neutral
Well,neutral
well is the dri-driver's license going to work?,neutral
I- I can take your driver's license but I need another form of ID in order to process this paper work.,neutral
"Um, that you would need to go home and get another form of ID and come back.",neutral
"What? I- You telling me I waited in that huge line to go and sit down and get my number called, like after",angry
three hours and,angry
Shouldn't they have like told us about that? I mean why - why would they make me go and wait three hours if I have got to go and do it again?,angry
"It's standard? I mean I don't work at the D.M.V. how am I supposed to know that, like, I stand in line, I get my",angry
"I filled out the application right, didn't I?",angry
"I'm sorry, sir.",neutral
there is nothing I can do.,neutral
You- shouldn't you have like a sign or something maybe like up on the counter when you get the applica- maybe on the application,angry
"What web- I didn't go to a website - why would I need to - it's the D.M.V.. You come to the D.M.V., you wait in line for three hours, and then you go home.",angry
I don't want you to go.,sad
"I know, I know. I don't want to go either baby. I love you know. And I'm going to miss you a lot.",sad
"I'm going to miss you too; I don't know what I'm going to do here without you. It's going to be so lonely, and so hard.",sad
I don't want to be a single mom.,sad
"You won't be. I'll be back; I'll be back before you know it. All right, and",sad
but,sad
and,sad
It's dangerous; I mean how can you make sure that you'll,sad
I hope so.,sad
I hope so.,sad
It's going to be really rough.,sad
"You gotta take care of our baby for me, alright?",sad
I'll send you lots of pictures.,sad
"I hope so, because I'm not going to be able to survive without all that. I don't know what I'm going to do.",sad
I've never been - I've never been away from you for two weeks let alone a year.,sad
"Well, just promise me that you going to be safe.",sad
"I mean can't they put you in like, you know kitchen work or something where you won't get",sad
there's people that thought it was the right thing to do so now we have to- we have to do what we have to do for our country,sad
"and it'll work out you know, go there and do that. Yeah, I'll be back",neutral
"Will you write me letters, paper ones?",sad
"Our baby needs a dad; you can't leave. Okay, you can't disappear.",sad
"Our baby has a dad, alright. Daddy is going to be back soon.",sad
"I want you to, you know, take lots of video; pictures and I can see you when I get back or while I'm there. I'm going to miss you.",sad
I'll miss you too.,sad
"Oh, well, it was -- you know, we were at this- at this concert and yeah",happy
so I-I talked to some of the crew before hand and-,happy
I-I did.,happy
"I know, so",happy
I got to freak her out.,happy
"Yea, that way she was guaranteed that she could not say no.",happy
"Oh yes, they - they you know they love her and so I mean...",happy
"Oh, it will, obviously you know. But I know it's something - I don't know, you never really think about it happening, like before hand.",happy
"Sure. Oh, yes.",happy
Hah.,happy
So how you feeling?,neutral
"You've been doing a lot of work for it, right?",neutral
"Right, so the fact you doing the best that you can is -",neutral
"you know you shouldn't give yourself a hard time for that, it's the best you can.",neutral
"Well, but you care about what you do, right?",neutral
"I understand that it's so frustrating but I know that you're here because you really want it you know and, and uh",neutral
"Well, I mean you're still here you've tried for this long so I think that says something all in itself.",neutral
You are persistence. I mean that's important. that's,neutral
"Well, you're talented so keep that in mind, you know, you shouldn't give yourself too hard of a time.",neutral
I'm sorry.,sad
"I don't know, it's just not, I don't know - I don't know what to do really, you know, I'm just thinking",sad
"That's- I mean. There are more factors then just whether you're good or not, you know what I mean like",neutral
"and the fact that you know there is always different types of things and what kind of people they want in the office and whether it's male or female or you know what I mean, like things are out of your control.",neutral
So you should take that in consideration rather than giving yourself such a hard time.,neutral
this doesn't happen to a normal person.,angry
"You know and the fact you still here and still cooking, like it's good that you're thinking about it, that you're reconsidering.",neutral
"But like, just because you're considering why it's been so difficult doesn't mean you should just stop.",neutral
"Maybe you should take a little break from it, but I don't think you should stop.",neutral
Right. Thanks for talking to me.,sad
Hi. Um-,neutral
"Hi, can I help you?",neutral
It seems that uh- my-my bag didn't make it out on the carousel.,neutral
"Oh, did you check? Did you make sure as it went around the second time that it-",neutral
"Yes, yes, it's gone around like you know twenty times. It's been about a half hour.",neutral
"Okay. Well, um- the f.",neutral
"Actually I'm looking here at the information, the flight that you were on we had some trouble with some of the baggage, it looks like a few peoples' bags didn't make it through. Um, so-",neutral
Okay. So what-what do I have to get you know,neutral
"Well, you can fill out this paperwork um- and if for some reason it shows up, we can bring it to you, but-",neutral
"For some reason, so you think it won't show up?",surprise
"Well, sometimes it's just late baggage or misplaced baggage and it comes out but it seems to be here and just I'm reading off of this that",neutral
Uh- it didn't make it into the second plane so it looks like there - they don't actually know what happened to it.,neutral
"Um, well, sometimes there is just difficulties with loading on to the plane. Uh- There can be a theft or uh- some sort of you know mishap with a cart or something.",neutral
"I- I- I understand, but um.",neutral
Okay,neutral
Right.,neutral
"I understand that. Um- So I'm going to put down here that you looking for your baggage, but we actually can't, uh this bag is likely not going to show up so what we're going to do-",neutral
"Sometimes it gets stolen, sometimes it gets misplaced on another plane and",neutral
"they - they, it gets shipped to somewhere else and then it's stuck somewhere and then we have no way of tracking that.",neutral
So we'll- what we'll do,neutral
"But we have the tags on. I mean like it wouldn't you know, if it got stuck somewhere it's like well this is nobodies bag I mean maybe you know look on the tag and",angry
Right. Like I said sometimes a theft and things happen like that but we are willing to reim-reimburse you.,neutral
"Um, so.",neutral
"Theft? Don't you know like all these people that are work - you keep like an eye on them, how can they get away with-",angry
"We have very tight security but we -uh- there are times when we just can't uh make sure there aren't absolutely no human error, you know",neutral
I'm sorry there is no guarantee on baggage.,neutral
you don't realize the stuff that I've got in that - I really need to get the suitcase okay,angry
"I understand, so-",neutral
"all right, We've already checked back here for your baggage",neutral
and we will continue to look for it and because your paper-,neutral
"Well, it's- it's just sort of help with the fact uh that you lost some of your possessions and we rather do that than-",neutral
The airline can't afford to give you everything that is in that suitcase. and so-,neutral
The a- what? Talking about a core they can't afford it? I mean-,angry
Well because lots of people get their baggage lost and we don't want to have false claims or anything like that so we have,neutral
"we can give you fifty dollar to sort of make up for it, to compensate, and we can definitely let you know if it shows up but likely, more than likely-",neutral
I mean you're not helping me here. What do I have to do here? Do I need to sue the airline company is that what I should do,angry
Kathy died last night.,sad
"Oh my God. Oh my God, I'm so sorry.",surprise
"yeah, I mean, you know, it was a -",sad
"I guess we saw it coming and she lasted a lot - a lot longer than, uh, they expected but you know, I mean when it actually happens it's just a lot harder.",sad
"It doesn't make any easier, yes.",sad
"I mean at least she was home, she wasn't in the hospital anymore,",sad
"Oh, man. I'm so sorry.",sad
"She was with- yeah She was with Gary, and he said that she was just sitting there and went to sleep, closed her eyes, and that was it.",sad
"It's going to be so rough, I'm sorry.",sad
"Yes. I mean, it's not as rough on me as it is on him but",sad
"God, it's you know, we've spent so much time with them it's just really surreal, really weird that we're not going to be able to see her anymore and go",sad
Yeah.,sad
"out to- out to dinner you know and do the troops to California, I mean.",sad
Totally.,sad
"It's just that- I don't know, it's sort it's sort- of a weird thing you know",sad
Yeah,sad
